DEBUG [2018-10-15 01:37:27] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 13160 15808 
 	 [ServerAdmin : userquery]Training complete in 1.118011 real seconds 

DEBUG [2018-10-15 01:37:39] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 13160 10192 
 	 [ServerAdmin : userquery]Training complete in 1.141945 real seconds 

DEBUG [2018-10-15 01:38:32] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 13160 8336 
 	 [ServerAdmin : userquery]Training complete in 1.088089 real seconds 

DEBUG [2018-10-15 01:38:56] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 13160 7772 
 	 [ServerAdmin : userquery]Training complete in 1.083102 real seconds 

DEBUG [2018-10-15 01:40:46] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 13160 11204 
 	 [ServerAdmin : userquery]Training complete in 1.052216 real seconds 

DEBUG [2018-10-15 01:49:09] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 13160 16196 
 	 [ServerAdmin : userquery]Training complete in 1.129483 real seconds 

DEBUG [2018-10-15 01:50:29] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 13160 14964 
 	 [ServerAdmin : userquery]Training complete in 1.093117 real seconds 

DEBUG [2018-10-15 01:52:56] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 13160 14436 
 	 [ServerAdmin : userquery]Training complete in 1.089087 real seconds 

DEBUG [2018-10-15 01:56:13] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 7916 16008 
 	 [ServerAdmin : userquery]Training complete in 1.066178 real seconds 

DEBUG [2018-10-15 01:57:27] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 7916 15484 
 	 [ServerAdmin : userquery]Training complete in 1.085130 real seconds 

DEBUG [2018-10-15 01:59:24] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 7916 9540 
 	 [ServerAdmin : userquery]Training complete in 1.091112 real seconds 

DEBUG [2018-10-15 01:59:30] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 7916 2624 
 	 [ServerAdmin : userquery]Training complete in 1.093077 real seconds 

DEBUG [2018-10-15 01:59:55] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 14984 11200 
 	 [ServerAdmin : userquery]Training complete in 1.172892 real seconds 

DEBUG [2018-10-15 02:00:19] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 14984 2300 
 	 [ServerAdmin : userquery]Training complete in 1.133966 real seconds 

DEBUG [2018-10-15 02:10:43] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 14984 14840 
 	 [ServerAdmin : userquery]Training complete in 1.112061 real seconds 

DEBUG [2018-10-15 02:11:04] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 14984 7120 
 	 [ServerAdmin : userquery]Training complete in 1.187823 real seconds 

DEBUG [2018-10-15 02:11:22] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 14984 14552 
 	 [ServerAdmin : userquery]Training complete in 1.095097 real seconds 

DEBUG [2018-10-15 02:12:11] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 14984 15560 
 	 [ServerAdmin : userquery]Training complete in 1.091081 real seconds 

DEBUG [2018-10-15 02:12:28] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 14984 6032 
 	 [ServerAdmin : userquery]Training complete in 1.093075 real seconds 

DEBUG [2018-10-15 02:13:18] C:\Users\Tc\Desktop\众瑞\zhongrui\server\libs\utils\log.py 52 debug 14984 13144 
 	 [ServerAdmin : userquery]Training complete in 1.090086 real seconds 

